fileId,fileUrls,size
2949163264,/archive/allData/61/MYD04_3K/2002/186/MYD04_3K.A2002186.0650.061.2018003213753.hdf,4191142
2949163502,/archive/allData/61/MYD04_3K/2002/186/MYD04_3K.A2002186.0505.061.2018003213909.hdf,6202910
2949164607,/archive/allData/61/MYD04_3K/2002/186/MYD04_3K.A2002186.0335.061.2018003213841.hdf,5407817
2949166191,/archive/allData/61/MYD04_3K/2002/186/MYD04_3K.A2002186.0645.061.2018003214044.hdf,5040632
2949169962,/archive/allData/61/MYD04_3K/2002/186/MYD04_3K.A2002186.0515.061.2018003213903.hdf,7049141
2949170687,/archive/allData/61/MYD04_3K/2002/185/MYD04_3K.A2002185.0605.061.2018003214222.hdf,5449348
2949171443,/archive/allData/61/MYD04_3K/2002/185/MYD04_3K.A2002185.0425.061.2018003214334.hdf,8544034
2949173293,/archive/allData/61/MYD04_3K/2002/185/MYD04_3K.A2002185.0430.061.2018003214254.hdf,7024862
2949173294,/archive/allData/61/MYD04_3K/2002/185/MYD04_3K.A2002185.0600.061.2018003214357.hdf,6790752
2949173301,/archive/allData/61/MYD04_3K/2002/186/MYD04_3K.A2002186.0510.061.2018003214324.hdf,6460079
